command,type,verification_status,source
:ROSCILLATOR:EXTERNAL:FREQUENCY,action,extracted,"AREG_UserManual_en_08.pdf#page=170, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=515, AREG_UserManual_en_08.pdf#page=579"
:ROSCILLATOR:EXTERNAL:RFOFF,action,extracted,"AREG_UserManual_en_08.pdf#page=170, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=515, AREG_UserManual_en_08.pdf#page=579"
:ROSCILLATOR:EXTERNAL:SBANDWIDTH,action,extracted,"AREG_UserManual_en_08.pdf#page=171, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=515, AREG_UserManual_en_08.pdf#page=579"
:ROSCILLATOR:OUTPUT:FREQUENCY:MODE,action,extracted,"AREG_UserManual_en_08.pdf#page=171, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=516, AREG_UserManual_en_08.pdf#page=579"
:ROSCILLATOR:PRESET,action,extracted,"AREG_UserManual_en_08.pdf#page=170, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=579"
:ROSCILLATOR:SOURCE,action,extracted,"AREG_UserManual_en_08.pdf#page=170, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=579"
:RTS,action,extracted,"AREG_UserManual_en_08.pdf#page=137, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=581"
:RX,action,extracted,"AREG_UserManual_en_08.pdf#page=139, AREG_UserManual_en_08.pdf#page=144, AREG_UserManual_en_08.pdf#page=145, AREG_UserManual_en_08.pdf#page=146, AREG_UserManual_en_08.pdf#page=147, AREG_UserManual_en_08.pdf#page=148, AREG_UserManual_en_08.pdf#page=149, AREG_UserManual_en_08.pdf#page=153, AREG_UserManual_en_08.pdf#page=154, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=477, AREG_UserManual_en_08.pdf#page=479, AREG_UserManual_en_08.pdf#page=485, AREG_UserManual_en_08.pdf#page=486, AREG_UserManual_en_08.pdf#page=487, AREG_UserManual_en_08.pdf#page=488, AREG_UserManual_en_08.pdf#page=493, AREG_UserManual_en_08.pdf#page=494, AREG_UserManual_en_08.pdf#page=495, AREG_UserManual_en_08.pdf#page=496, AREG_UserManual_en_08.pdf#page=497, AREG_UserManual_en_08.pdf#page=498, AREG_UserManual_en_08.pdf#page=580, AREG_UserManual_en_08.pdf#page=581, AREG_UserManual_en_08.pdf#page=583"
:SELF,action,extracted,"AREG_UserManual_en_08.pdf#page=304, AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=417, AREG_UserManual_en_08.pdf#page=577"
:SENS1:DISP:PERM:PRI,action,extracted,AREG_UserManual_en_08.pdf#page=527
:SENS1:DISP:PERM:STAT,action,extracted,AREG_UserManual_en_08.pdf#page=527
:SENS1:FILT:LENG,action,extracted,AREG_UserManual_en_08.pdf#page=529
:SENS1:FILT:LENG:AUTO?,query,extracted,AREG_UserManual_en_08.pdf#page=528
:SENS1:FILT:LENG?,query,extracted,AREG_UserManual_en_08.pdf#page=530
:SENS1:FILT:SONC,action,extracted,AREG_UserManual_en_08.pdf#page=530
:SENS1:FILT:TYPE,action,extracted,"AREG_UserManual_en_08.pdf#page=528, AREG_UserManual_en_08.pdf#page=529"
:SENS1:FREQ,action,extracted,AREG_UserManual_en_08.pdf#page=531
:SENS1:POW:DISP:PERM:STAT,action,extracted,AREG_UserManual_en_08.pdf#page=528
:SENS1:POW:FILT:LENG:USER?,query,extracted,AREG_UserManual_en_08.pdf#page=529
:SENS1:POW:OFFS,action,extracted,"AREG_UserManual_en_08.pdf#page=531, AREG_UserManual_en_08.pdf#page=532"
:SENS1:POW:OFFS:STAT,action,extracted,AREG_UserManual_en_08.pdf#page=532
:SENS1:SNUM?,query,extracted,AREG_UserManual_en_08.pdf#page=532
:SENS1:SOUR,action,extracted,AREG_UserManual_en_08.pdf#page=531
:SENS1:STAT?,query,extracted,AREG_UserManual_en_08.pdf#page=532
:SENS1:TYPE?,query,extracted,AREG_UserManual_en_08.pdf#page=533
:SENS1:UNIT,action,extracted,AREG_UserManual_en_08.pdf#page=525
:SENS1:ZERO,action,extracted,AREG_UserManual_en_08.pdf#page=533
:SENS2:UNIT,action,extracted,AREG_UserManual_en_08.pdf#page=526
:SENS:LOGG:STAT,action,extracted,AREG_UserManual_en_08.pdf#page=531
:SENSE,action,extracted,"AREG_UserManual_en_08.pdf#page=175, AREG_UserManual_en_08.pdf#page=179, AREG_UserManual_en_08.pdf#page=180, AREG_UserManual_en_08.pdf#page=181, AREG_UserManual_en_08.pdf#page=182, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=526, AREG_UserManual_en_08.pdf#page=527, AREG_UserManual_en_08.pdf#page=528, AREG_UserManual_en_08.pdf#page=529, AREG_UserManual_en_08.pdf#page=530, AREG_UserManual_en_08.pdf#page=531, AREG_UserManual_en_08.pdf#page=532, AREG_UserManual_en_08.pdf#page=533, AREG_UserManual_en_08.pdf#page=576"
:SENSE1:POWER:CORRECTION:SPDEVICE:STATE,action,extracted,AREG_UserManual_en_08.pdf#page=527
:SENSOR,action,extracted,"AREG_UserManual_en_08.pdf#page=166, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=474, AREG_UserManual_en_08.pdf#page=581"
:SENSORDATA,action,extracted,"AREG_UserManual_en_08.pdf#page=157, AREG_UserManual_en_08.pdf#page=501"
:SENSORDATASERIES,action,extracted,AREG_UserManual_en_08.pdf#page=119
:SIGNAL,action,extracted,"AREG_UserManual_en_08.pdf#page=250, AREG_UserManual_en_08.pdf#page=443, AREG_UserManual_en_08.pdf#page=576"
:SLIST,action,extracted,"AREG_UserManual_en_08.pdf#page=183, AREG_UserManual_en_08.pdf#page=520, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=524, AREG_UserManual_en_08.pdf#page=577"
:SLIST:CLEAR,action,extracted,"AREG_UserManual_en_08.pdf#page=184, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=524, AREG_UserManual_en_08.pdf#page=576"
:SLIST:CLEAR:LAN,action,extracted,"AREG_UserManual_en_08.pdf#page=184, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=523, AREG_UserManual_en_08.pdf#page=576"
:SLIST:CLEAR:USB,action,extracted,"AREG_UserManual_en_08.pdf#page=184, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=523, AREG_UserManual_en_08.pdf#page=576"
:SLIST:ELEMENT,action,extracted,"AREG_UserManual_en_08.pdf#page=183, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=524, AREG_UserManual_en_08.pdf#page=577"
:SLIST:SCAN,action,extracted,"AREG_UserManual_en_08.pdf#page=184, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=524, AREG_UserManual_en_08.pdf#page=577"
:SLIST:SCAN:LSENSOR,action,extracted,"AREG_UserManual_en_08.pdf#page=184, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=523, AREG_UserManual_en_08.pdf#page=577"
:SLIST:SCAN:USENSOR,action,extracted,"AREG_UserManual_en_08.pdf#page=185, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=523, AREG_UserManual_en_08.pdf#page=577"
:SLIST:SENSOR:MAP,action,extracted,"AREG_UserManual_en_08.pdf#page=183, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=524, AREG_UserManual_en_08.pdf#page=577"
:SNUMBER,action,extracted,"AREG_UserManual_en_08.pdf#page=130, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=489, AREG_UserManual_en_08.pdf#page=581"
:SNUMBER?,query,extracted,"AREG_UserManual_en_08.pdf#page=179, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=532, AREG_UserManual_en_08.pdf#page=576"
:SOCKET,action,extracted,"AREG_UserManual_en_08.pdf#page=287, AREG_UserManual_en_08.pdf#page=289, AREG_UserManual_en_08.pdf#page=290, AREG_UserManual_en_08.pdf#page=293, AREG_UserManual_en_08.pdf#page=294, AREG_UserManual_en_08.pdf#page=295, AREG_UserManual_en_08.pdf#page=406"
:SOURCE,action,extracted,"AREG_UserManual_en_08.pdf#page=105, AREG_UserManual_en_08.pdf#page=106, AREG_UserManual_en_08.pdf#page=107, AREG_UserManual_en_08.pdf#page=108, AREG_UserManual_en_08.pdf#page=109, AREG_UserManual_en_08.pdf#page=110, AREG_UserManual_en_08.pdf#page=111, AREG_UserManual_en_08.pdf#page=112, AREG_UserManual_en_08.pdf#page=113, AREG_UserManual_en_08.pdf#page=114, AREG_UserManual_en_08.pdf#page=115, AREG_UserManual_en_08.pdf#page=116, AREG_UserManual_en_08.pdf#page=119, AREG_UserManual_en_08.pdf#page=120, AREG_UserManual_en_08.pdf#page=122, AREG_UserManual_en_08.pdf#page=125, AREG_UserManual_en_08.pdf#page=127, AREG_UserManual_en_08.pdf#page=128, AREG_UserManual_en_08.pdf#page=129, AREG_UserManual_en_08.pdf#page=130, AREG_UserManual_en_08.pdf#page=131, AREG_UserManual_en_08.pdf#page=132, AREG_UserManual_en_08.pdf#page=133, AREG_UserManual_en_08.pdf#page=134, AREG_UserManual_en_08.pdf#page=137, AREG_UserManual_en_08.pdf#page=139, AREG_UserManual_en_08.pdf#page=140, AREG_UserManual_en_08.pdf#page=142, AREG_UserManual_en_08.pdf#page=143, AREG_UserManual_en_08.pdf#page=144, AREG_UserManual_en_08.pdf#page=145, AREG_UserManual_en_08.pdf#page=146, AREG_UserManual_en_08.pdf#page=147, AREG_UserManual_en_08.pdf#page=148, AREG_UserManual_en_08.pdf#page=149, AREG_UserManual_en_08.pdf#page=153, AREG_UserManual_en_08.pdf#page=154, AREG_UserManual_en_08.pdf#page=155, AREG_UserManual_en_08.pdf#page=156, AREG_UserManual_en_08.pdf#page=157, AREG_UserManual_en_08.pdf#page=159, AREG_UserManual_en_08.pdf#page=161, AREG_UserManual_en_08.pdf#page=162, AREG_UserManual_en_08.pdf#page=165, AREG_UserManual_en_08.pdf#page=166, AREG_UserManual_en_08.pdf#page=167, AREG_UserManual_en_08.pdf#page=168, AREG_UserManual_en_08.pdf#page=170, AREG_UserManual_en_08.pdf#page=171, AREG_UserManual_en_08.pdf#page=172, AREG_UserManual_en_08.pdf#page=180, AREG_UserManual_en_08.pdf#page=188, AREG_UserManual_en_08.pdf#page=189, AREG_UserManual_en_08.pdf#page=190, AREG_UserManual_en_08.pdf#page=191, AREG_UserManual_en_08.pdf#page=192, AREG_UserManual_en_08.pdf#page=193, AREG_UserManual_en_08.pdf#page=194, AREG_UserManual_en_08.pdf#page=195, AREG_UserManual_en_08.pdf#page=196, AREG_UserManual_en_08.pdf#page=206, AREG_UserManual_en_08.pdf#page=207, AREG_UserManual_en_08.pdf#page=208, AREG_UserManual_en_08.pdf#page=225, AREG_UserManual_en_08.pdf#page=250, AREG_UserManual_en_08.pdf#page=368, AREG_UserManual_en_08.pdf#page=443, AREG_UserManual_en_08.pdf#page=444, AREG_UserManual_en_08.pdf#page=447, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=449, AREG_UserManual_en_08.pdf#page=450, AREG_UserManual_en_08.pdf#page=451, AREG_UserManual_en_08.pdf#page=452, AREG_UserManual_en_08.pdf#page=453, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=455, AREG_UserManual_en_08.pdf#page=456, AREG_UserManual_en_08.pdf#page=457, AREG_UserManual_en_08.pdf#page=458, AREG_UserManual_en_08.pdf#page=459, AREG_UserManual_en_08.pdf#page=460, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=462, AREG_UserManual_en_08.pdf#page=466, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=468, AREG_UserManual_en_08.pdf#page=469, AREG_UserManual_en_08.pdf#page=470, AREG_UserManual_en_08.pdf#page=471, AREG_UserManual_en_08.pdf#page=472, AREG_UserManual_en_08.pdf#page=473, AREG_UserManual_en_08.pdf#page=474, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=476, AREG_UserManual_en_08.pdf#page=477, AREG_UserManual_en_08.pdf#page=478, AREG_UserManual_en_08.pdf#page=479, AREG_UserManual_en_08.pdf#page=480, AREG_UserManual_en_08.pdf#page=481, AREG_UserManual_en_08.pdf#page=482, AREG_UserManual_en_08.pdf#page=483, AREG_UserManual_en_08.pdf#page=484, AREG_UserManual_en_08.pdf#page=485, AREG_UserManual_en_08.pdf#page=486, AREG_UserManual_en_08.pdf#page=487, AREG_UserManual_en_08.pdf#page=488, AREG_UserManual_en_08.pdf#page=489, AREG_UserManual_en_08.pdf#page=490, AREG_UserManual_en_08.pdf#page=491, AREG_UserManual_en_08.pdf#page=492, AREG_UserManual_en_08.pdf#page=493, AREG_UserManual_en_08.pdf#page=494, AREG_UserManual_en_08.pdf#page=495, AREG_UserManual_en_08.pdf#page=496, AREG_UserManual_en_08.pdf#page=497, AREG_UserManual_en_08.pdf#page=498, AREG_UserManual_en_08.pdf#page=499, AREG_UserManual_en_08.pdf#page=500, AREG_UserManual_en_08.pdf#page=501, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=505, AREG_UserManual_en_08.pdf#page=506, AREG_UserManual_en_08.pdf#page=507, AREG_UserManual_en_08.pdf#page=508, AREG_UserManual_en_08.pdf#page=509, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=511, AREG_UserManual_en_08.pdf#page=512, AREG_UserManual_en_08.pdf#page=513, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=515, AREG_UserManual_en_08.pdf#page=516, AREG_UserManual_en_08.pdf#page=517, AREG_UserManual_en_08.pdf#page=518, AREG_UserManual_en_08.pdf#page=519, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=530, AREG_UserManual_en_08.pdf#page=532, AREG_UserManual_en_08.pdf#page=576, AREG_UserManual_en_08.pdf#page=577, AREG_UserManual_en_08.pdf#page=579, AREG_UserManual_en_08.pdf#page=580, AREG_UserManual_en_08.pdf#page=581, AREG_UserManual_en_08.pdf#page=582, AREG_UserManual_en_08.pdf#page=583"
:SOURCE1:AM1:STATE,action,extracted,AREG_UserManual_en_08.pdf#page=430
:SOURCE1:AREGENERATOR:FRONTEND:ANTENNA:CUSTOM,action,extracted,AREG_UserManual_en_08.pdf#page=483
:SOURCE1:AREGENERATOR:FRONTEND:TRX1:ANTENNA,action,extracted,"AREG_UserManual_en_08.pdf#page=482, AREG_UserManual_en_08.pdf#page=483, AREG_UserManual_en_08.pdf#page=484"
:SOURCE1:AREGENERATOR:SWUNIT:MAPPING1:CONFIG?,query,extracted,AREG_UserManual_en_08.pdf#page=474
:SOURCE1:AREGENERATOR:SWUNIT:RX,action,extracted,AREG_UserManual_en_08.pdf#page=471
:SOURCE1:AREGENERATOR:SWUNIT:TX,action,extracted,AREG_UserManual_en_08.pdf#page=471
:SOURCE1:FREQUENCY:CW,action,extracted,AREG_UserManual_en_08.pdf#page=430
:SOURCE1:FREQUENCY:OFFSET,action,extracted,AREG_UserManual_en_08.pdf#page=430
:SOURCE:AREGENERATOR:UNITS:RANGE,action,extracted,AREG_UserManual_en_08.pdf#page=455
:SPEED,action,extracted,"AREG_UserManual_en_08.pdf#page=106, AREG_UserManual_en_08.pdf#page=447, AREG_UserManual_en_08.pdf#page=450, AREG_UserManual_en_08.pdf#page=582"
:STAT:OPER:ENAB,action,extracted,AREG_UserManual_en_08.pdf#page=534
:STAT:OPER:EVEN?,query,extracted,AREG_UserManual_en_08.pdf#page=534
:STAT:OPER:NTR,action,extracted,AREG_UserManual_en_08.pdf#page=535
:STAT:OPER:PTR,action,extracted,AREG_UserManual_en_08.pdf#page=535
:STATE,action,extracted,"AREG_UserManual_en_08.pdf#page=105, AREG_UserManual_en_08.pdf#page=110, AREG_UserManual_en_08.pdf#page=120, AREG_UserManual_en_08.pdf#page=159, AREG_UserManual_en_08.pdf#page=170, AREG_UserManual_en_08.pdf#page=172, AREG_UserManual_en_08.pdf#page=184, AREG_UserManual_en_08.pdf#page=189, AREG_UserManual_en_08.pdf#page=194, AREG_UserManual_en_08.pdf#page=246, AREG_UserManual_en_08.pdf#page=247, AREG_UserManual_en_08.pdf#page=269, AREG_UserManual_en_08.pdf#page=272, AREG_UserManual_en_08.pdf#page=274, AREG_UserManual_en_08.pdf#page=275, AREG_UserManual_en_08.pdf#page=369, AREG_UserManual_en_08.pdf#page=372, AREG_UserManual_en_08.pdf#page=373, AREG_UserManual_en_08.pdf#page=383, AREG_UserManual_en_08.pdf#page=384, AREG_UserManual_en_08.pdf#page=385, AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=416, AREG_UserManual_en_08.pdf#page=424, AREG_UserManual_en_08.pdf#page=425, AREG_UserManual_en_08.pdf#page=426, AREG_UserManual_en_08.pdf#page=427, AREG_UserManual_en_08.pdf#page=428, AREG_UserManual_en_08.pdf#page=447, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=454, AREG_UserManual_en_08.pdf#page=461, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=469, AREG_UserManual_en_08.pdf#page=471, AREG_UserManual_en_08.pdf#page=474, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=481, AREG_UserManual_en_08.pdf#page=504, AREG_UserManual_en_08.pdf#page=505, AREG_UserManual_en_08.pdf#page=510, AREG_UserManual_en_08.pdf#page=512, AREG_UserManual_en_08.pdf#page=514, AREG_UserManual_en_08.pdf#page=515, AREG_UserManual_en_08.pdf#page=516, AREG_UserManual_en_08.pdf#page=521, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=524, AREG_UserManual_en_08.pdf#page=556, AREG_UserManual_en_08.pdf#page=575, AREG_UserManual_en_08.pdf#page=577, AREG_UserManual_en_08.pdf#page=578, AREG_UserManual_en_08.pdf#page=579, AREG_UserManual_en_08.pdf#page=580, AREG_UserManual_en_08.pdf#page=581, AREG_UserManual_en_08.pdf#page=582"
:STATUS,action,extracted,"AREG_UserManual_en_08.pdf#page=179, AREG_UserManual_en_08.pdf#page=522, AREG_UserManual_en_08.pdf#page=532, AREG_UserManual_en_08.pdf#page=576"
:STATUS:OPERATION,action,extracted,"AREG_UserManual_en_08.pdf#page=297, AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=577"
:STATUS:OPERATION:CONDITION?,query,extracted,"AREG_UserManual_en_08.pdf#page=297, AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=577"
:STATUS:OPERATION:ENABLE,action,extracted,"AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=577"
:STATUS:OPERATION:NTRANSITION,action,extracted,"AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=535, AREG_UserManual_en_08.pdf#page=577"
:STATUS:OPERATION:PTRANSITION,action,extracted,"AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=535, AREG_UserManual_en_08.pdf#page=577"
:STATUS:PRESET,action,extracted,"AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=535, AREG_UserManual_en_08.pdf#page=577"
:STATUS:QUESTIONABLE,action,extracted,"AREG_UserManual_en_08.pdf#page=297, AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=536, AREG_UserManual_en_08.pdf#page=577"
:STATUS:QUESTIONABLE:CONDITION,action,extracted,"AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=535, AREG_UserManual_en_08.pdf#page=577"
:STATUS:QUESTIONABLE:CONDITION?,query,extracted,AREG_UserManual_en_08.pdf#page=536
:STATUS:QUESTIONABLE:ENABLE,action,extracted,"AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=536, AREG_UserManual_en_08.pdf#page=577"
:STATUS:QUESTIONABLE:NTRANSITION,action,extracted,"AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=536, AREG_UserManual_en_08.pdf#page=577"
:STATUS:QUESTIONABLE:PTRANSITION,action,extracted,"AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=536, AREG_UserManual_en_08.pdf#page=577"
:STATUS:QUEUE,action,extracted,"AREG_UserManual_en_08.pdf#page=534, AREG_UserManual_en_08.pdf#page=537, AREG_UserManual_en_08.pdf#page=577"
:STATUS:QUEUE?,query,extracted,AREG_UserManual_en_08.pdf#page=537
:STATUS?,query,extracted,"AREG_UserManual_en_08.pdf#page=133, AREG_UserManual_en_08.pdf#page=139, AREG_UserManual_en_08.pdf#page=475, AREG_UserManual_en_08.pdf#page=480, AREG_UserManual_en_08.pdf#page=581"
:SUBCHANNEL,action,extracted,"AREG_UserManual_en_08.pdf#page=105, AREG_UserManual_en_08.pdf#page=106, AREG_UserManual_en_08.pdf#page=107, AREG_UserManual_en_08.pdf#page=165, AREG_UserManual_en_08.pdf#page=166, AREG_UserManual_en_08.pdf#page=447, AREG_UserManual_en_08.pdf#page=448, AREG_UserManual_en_08.pdf#page=449, AREG_UserManual_en_08.pdf#page=450, AREG_UserManual_en_08.pdf#page=451, AREG_UserManual_en_08.pdf#page=452, AREG_UserManual_en_08.pdf#page=453, AREG_UserManual_en_08.pdf#page=467, AREG_UserManual_en_08.pdf#page=472, AREG_UserManual_en_08.pdf#page=473, AREG_UserManual_en_08.pdf#page=474, AREG_UserManual_en_08.pdf#page=581, AREG_UserManual_en_08.pdf#page=582, AREG_UserManual_en_08.pdf#page=583"
:SUBNET:MASK,action,extracted,"AREG_UserManual_en_08.pdf#page=198, AREG_UserManual_en_08.pdf#page=200, AREG_UserManual_en_08.pdf#page=301, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=420, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=437, AREG_UserManual_en_08.pdf#page=438, AREG_UserManual_en_08.pdf#page=439, AREG_UserManual_en_08.pdf#page=577, AREG_UserManual_en_08.pdf#page=578"
:SYST:INF:SCPI,action,extracted,"AREG_UserManual_en_08.pdf#page=347, AREG_UserManual_en_08.pdf#page=348"
:SYST:ULOC,action,extracted,AREG_UserManual_en_08.pdf#page=414
:SYSTEM,action,extracted,"AREG_UserManual_en_08.pdf#page=428, AREG_UserManual_en_08.pdf#page=429, AREG_UserManual_en_08.pdf#page=432"
:SYSTEM:BIOS:VERSION?,query,extracted,"AREG_UserManual_en_08.pdf#page=410, AREG_UserManual_en_08.pdf#page=433, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:GPIB,action,extracted,"AREG_UserManual_en_08.pdf#page=304, AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=417, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:GPIB:LTERMINATOR,action,extracted,"AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=416, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:GPIB:RESOURCE?,query,extracted,"AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=417, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:HISLIP:RESOURCE?,query,extracted,"AREG_UserManual_en_08.pdf#page=302, AREG_UserManual_en_08.pdf#page=303, AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=417, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:NETWORK,action,extracted,"AREG_UserManual_en_08.pdf#page=300, AREG_UserManual_en_08.pdf#page=301, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=419, AREG_UserManual_en_08.pdf#page=420, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:NETWORK:IPADDRESS,action,extracted,"AREG_UserManual_en_08.pdf#page=300, AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=417, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:NETWORK:IPADDRESS:MODE,action,extracted,"AREG_UserManual_en_08.pdf#page=300, AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=418, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:NETWORK:MACADDRESS,action,extracted,"AREG_UserManual_en_08.pdf#page=301, AREG_UserManual_en_08.pdf#page=408, AREG_UserManual_en_08.pdf#page=418, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:NETWORK:RESOURCE?,query,extracted,"AREG_UserManual_en_08.pdf#page=302, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=418, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:NETWORK:RESTART,action,extracted,"AREG_UserManual_en_08.pdf#page=300, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=418, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:NETWORK:STATUS?,query,extracted,"AREG_UserManual_en_08.pdf#page=299, AREG_UserManual_en_08.pdf#page=409, AREG_UserManual_en_08.pdf#page=419, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:RT:NETWORK,action,extracted,"AREG_UserManual_en_08.pdf#page=198, AREG_UserManual_en_08.pdf#page=200, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=437, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:RT:NETWORK:IPADDRESS,action,extracted,"AREG_UserManual_en_08.pdf#page=198, AREG_UserManual_en_08.pdf#page=200, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=437, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:RT:NETWORK:IPADDRESS:MODE,action,extracted,"AREG_UserManual_en_08.pdf#page=198, AREG_UserManual_en_08.pdf#page=200, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=437, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:RT:NETWORK:MACADDRESS,action,extracted,"AREG_UserManual_en_08.pdf#page=198, AREG_UserManual_en_08.pdf#page=200, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=437, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:RT:NETWORK:RESTART,action,extracted,"AREG_UserManual_en_08.pdf#page=197, AREG_UserManual_en_08.pdf#page=199, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=577"
:SYSTEM:COMMUNICATE:RT:NETWORK:STATUS,action,extracted,"AREG_UserManual_en_08.pdf#page=197, AREG_UserManual_en_08.pdf#page=199, AREG_UserManual_en_08.pdf#page=436, AREG_UserManual_en_08.pdf#page=577"
